Protein	Protein ID	Entry Name	Gene	Protein Description	input_wtH_mutL Light Intensity	input_wtH_prpfL Light Intensity	input_wtL_mutH Light Intensity	input_wtL_prpfH Light Intensity	input_wtH_mutL Heavy Intensity	input_wtH_prpfL Heavy Intensity	input_wtL_mutH Heavy Intensity	input_wtL_prpfH Heavy Intensity	input_wtH_mutL Light MaxLFQ Intensity	input_wtH_prpfL Light MaxLFQ Intensity	input_wtL_mutH Light MaxLFQ Intensity	input_wtL_prpfH Light MaxLFQ Intensity	input_wtH_mutL Heavy MaxLFQ Intensity	input_wtH_prpfL Heavy MaxLFQ Intensity	input_wtL_mutH Heavy MaxLFQ Intensity	input_wtL_prpfH Heavy MaxLFQ Intensity	input_wtH_mutL Ratios HL	input_wtH_prpfL Ratios HL	input_wtL_mutH Ratios HL	input_wtL_prpfH Ratios HL	input_wtH_mutL Median Log2 Ratios HL	input_wtH_prpfL Median Log2 Ratios HL	input_wtL_mutH Median Log2 Ratios HL	input_wtL_prpfH Median Log2 Ratios HL
sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	5.94E+08	1.42E+07	8.16E+08	5.05E+07	4.35E+08	3186144.8	5.40E+08	3.24E+07	5.10E+07	4648602.5	5.61E+07	1.09E+07	2.88E+07	6188038.5	3.69E+07	6248431.5	26	2	26	7	-0.346111743	-0.216681564	-0.585805525	-0.356104142
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2				682594													0	0	0	0				
sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	2.68E+07	1.42E+08	3.92E+07	1.41E+08	1.94E+07	1.32E+08	4.12E+07	1.06E+08	2.04E+07	2.79E+07	2.01E+07	2.20E+07	2.26E+07	2.30E+07	1.86E+07	1.78E+07	2	11	2	9	-0.15873427	0.022067805	-0.724423523	-0.090080849
sp|O15047|SET1A_HUMAN	O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	2052674.4	3476440.5	1.61E+07		1517463.5	2936949.5	2.28E+07										1	1	2	0	-0.167458333	-0.037755976	0.90460262	
sp|O15049|N4BP3_HUMAN	O15049	N4BP3_HUMAN	N4BP3	NEDD4-binding protein 3			3018037.5				1.70E+07										0	0	1	0			1.276820701	
sp|O15050|TRNK1_HUMAN	O15050	TRNK1_HUMAN	TRANK1	TPR and ankyrin repeat-containing protein 1	7793336		5.02E+07														0	0	0	0				
sp|O15062|ZBTB5_HUMAN	O15062	ZBTB5_HUMAN	ZBTB5	Zinc finger and BTB domain-containing protein 5	9013930				6704099.5												1	0	0	0	-0.623296882			
sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	2.17E+07	1.57E+08	1.91E+07	2.35E+08	2.22E+07	1.45E+08	2.62E+07	1.55E+08	1.32E+07	5.84E+07	1.28E+07	4.52E+07	1.33E+07	5.00E+07	1.70E+07	3.32E+07	2	8	2	13	0.321800816	-0.08803854	0.626161791	-0.585673827
sp|O15078|CE290_HUMAN	O15078	CE290_HUMAN	CEP290	Centrosomal protein of 290 kDa	2.02E+07																0	0	0	0				
sp|O15084|ANR28_HUMAN	O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	8.31E+07		6.15E+07		7.24E+07		5.28E+07		3.12E+07		3.01E+07		2.66E+07		2.66E+07		7	0	3	0	-0.18164839		-0.308453279	
sp|O15091|MRPP3_HUMAN	O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit		1.19E+07		9792924				7345139		1.19E+07		8158760					0	0	0	2				-0.255370045
sp|O15111|IKKA_HUMAN	O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha		6504829			2542132.5	9892449											0	1	0	0		-1.581970145		
sp|O15116|LSM1_HUMAN	O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1		8922082		7327650		9874322		8314658		6495534.5		6081666.5		6784721		6200544.5	0	2	0	2		0.50995152		0.477130377
sp|O15121|DEGS1_HUMAN	O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1						8390697		1.40E+07						8390697		1.40E+07	0	0	0	0				
sp|O15126|SCAM1_HUMAN	O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1		2.87E+07		4.64E+07		1.90E+07		2.95E+07		1.83E+07		1.91E+07		1.40E+07		1.43E+07	0	2	0	3		-0.399385639		-0.794281336
sp|O15127|SCAM2_HUMAN	O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2		1.50E+07	7803472.5	4938061		1.12E+07	8954833	4679538			7803472.5	4938061			8954833	4679538	0	2	1	1		-0.210555119	-0.101411985	0.130053216
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	2.31E+07	6.34E+07	2.60E+07	9.56E+07	2.36E+07	4.50E+07	2.28E+07	1.28E+08	2.31E+07	3.65E+07	2.60E+07	5.55E+07	2.51E+07	4.12E+07	2.43E+07	5.18E+07	1	3	1	4	0.297228382	0.160871867	-0.379966702	-0.167578439
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2		6.94E+07		4.67E+07		6.88E+07		5.36E+07		2.62E+07		3.35E+07		2.14E+07		2.01E+07	0	4	0	3		0.085885369		0.087809697
sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	9.32E+07	5.13E+07	3.35E+07	3.86E+07	6.90E+07	3.13E+07	2.55E+07	3.69E+07	3.42E+07	4.23E+07	3.11E+07	3.17E+07	2.74E+07	2.72E+07	2.40E+07	3.08E+07	2	2	2	2	-0.338824783	-0.485540096	-0.356211343	0.092158787
sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	2.33E+08	9.62E+07	2.44E+08	1.14E+08	2.04E+08	8.05E+07	2.57E+08	8.74E+07	4.62E+07	3.99E+07	4.62E+07	3.52E+07	3.95E+07	3.32E+07	4.70E+07	2.90E+07	8	4	9	6	-0.076203586	-0.042168528	0.243501698	-0.036801383
sp|O15164|TIF1A_HUMAN	O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha		4489625.5		2.54E+07		4301844.5		1.02E+07		5090227.5		7853738.5		4301844.5		5735264	0	1	0	2		0.143896713		-0.288377309
sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	9.34E+07	4.54E+07	6.50E+07	4.93E+07	7.31E+07	3.42E+07	4.59E+07	3.82E+07	4.16E+07	2.76E+07	3.96E+07	2.93E+07	3.12E+07	2.10E+07	2.80E+07	2.30E+07	3	2	2	2	-0.490504178	-0.202308439	-0.518804446	-0.168136197
sp|O15182|CETN3_HUMAN	O15182	CETN3_HUMAN	CETN3	Centrin-3	1.07E+07				6410181												1	0	0	0	-0.695551635			
sp|O15198|SMAD9_HUMAN	O15198	SMAD9_HUMAN	SMAD9	Mothers against decapentaplegic homolog 9	2.75E+07			3.20E+07				4.08E+07									0	0	0	1				0.554757438
sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	3.78E+07	1.47E+07	2.43E+07		3.06E+07	1.11E+07	3.08E+07										2	1	1	0	-0.03225913	-0.208623758	0.466491053	
sp|O15213|WDR46_HUMAN	O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46		1265348.9	1.56E+07	6271423		709488.5	1.53E+07	1.05E+07									0	1	1	1		-0.629147559	-0.041492168	0.027226282
sp|O15226|NKRF_HUMAN	O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	2.95E+08	2.74E+07	2.02E+08	6.49E+07	2.21E+08	2.46E+07	2.05E+08	6.94E+07	5.42E+07	1.34E+07	5.11E+07	1.90E+07	4.41E+07	8699109	4.41E+07	1.66E+07	9	4	9	8	-0.106612826	-0.322839903	-0.016941041	0.084244413
sp|O15228|GNPAT_HUMAN	O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	2277098.2				1994242												1	0	0	0	0.077028537			
sp|O15234|CASC3_HUMAN	O15234	CASC3_HUMAN	CASC3	Protein CASC3	8.11E+07		1.03E+08		6.15E+07		9.36E+07		2.96E+07		3.53E+07		2.70E+07		5.08E+07		4	0	4	0	-0.136716988		-0.097473282	
sp|O15235|RT12_HUMAN	O15235	RT12_HUMAN	MRPS12	Small ribosomal subunit protein uS12m	2.20E+07		6.04E+07		1.66E+07		2.70E+07										1	0	1	0	-0.559864089		-1.145490563	
sp|O15247|CLIC2_HUMAN	O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2	2100102	1.41E+08	2.52E+07	1.31E+08	1719155.6	7.50E+07	7078633	8.68E+07		7.10E+07	1.61E+07	4.71E+07		4.55E+07	7078633	2.87E+07	1	5	1	8	-0.020374729	-0.628934708	-0.550576191	-0.285384241
sp|O15258|RER1_HUMAN	O15258	RER1_HUMAN	RER1	Protein RER1		4861539.5		1.29E+07		3916518.5		8998306		4861539.5		1.29E+07		3916518.5		8998306	0	1	0	1		-0.035001905		-0.311472409
sp|O15260|SURF4_HUMAN	O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	5.47E+07	4.36E+07	4.41E+07	2.30E+07	3.74E+07	3.44E+07	4.51E+07	2.30E+07	3.24E+07	2.59E+07	2.63E+07	2.30E+07	2.33E+07	2.15E+07	2.82E+07	2.30E+07	2	2	2	1	-0.604358249	-0.176735489	-0.054597968	0.211134763
sp|O15269|SPTC1_HUMAN	O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	5.76E+07	1.35E+08	9.31E+07	6.60E+07	4.78E+07	1.09E+08	8.29E+07	4.01E+07	5.63E+07	4.60E+07	5.04E+07	3.94E+07	5.37E+07	2.48E+07	4.29E+07	2.55E+07	2	4	3	4	0.170301171	-0.013238832	0.183615984	-0.385281851
sp|O15270|SPTC2_HUMAN	O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2		1.31E+07				1.57E+07											0	2	0	0		0.653496215		
sp|O15294|OGT1_HUMAN	O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	8.03E+07	6258782.5	4.18E+07	4.51E+07	8.56E+07	9189383	6.60E+07	2.67E+07	1.27E+07	1.39E+07	1.16E+07	2.56E+07	1.89E+07	1.69E+07	2.55E+07	1.88E+07	6	1	3	6	0.448771715	0.745942749	0.269339824	-0.54555689
sp|O15305|PMM2_HUMAN	O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2		4947381.5				4949230.5											0	1	0	0		0.206075503		
sp|O15318|RPC7_HUMAN	O15318	RPC7_HUMAN	POLR3G	DNA-directed RNA polymerase III subunit RPC7	1.50E+07																0	0	0	0				
sp|O15347|HMGB3_HUMAN	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	9763444	2.63E+08	2.39E+07	1.88E+08	6369508	1.91E+08	2.41E+07	1.23E+08	1.07E+07	6.75E+07	2.97E+07	7.46E+07	7183609	5.03E+07	2.76E+07	4.90E+07	1	5	1	4	-0.812392512	-0.341901814	-0.184061756	-0.429556237
sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G		1.65E+08	1.42E+07	2.48E+08		1.28E+08	1.34E+07	4.09E+08		4.37E+07	1.24E+07	5.50E+07		6.52E+07	2.29E+07	6.74E+07	0	9	1	10		-0.031036393	0.637544257	-0.022233956
sp|O15357|SHIP2_HUMAN	O15357	SHIP2_HUMAN	INPPL1	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2"	8.59E+07	1980297.8	1.41E+08	6342502	8.93E+07	2251199.2	1.40E+08	9573960	7610815.5	1.14E+07	1.17E+07	1.11E+07	1.11E+07	1.36E+07	2.25E+07	6082258	7	1	7	2	0.320010286	0.390512844	0.01491918	-0.565537384
sp|O15360|FANCA_HUMAN	O15360	FANCA_HUMAN	FANCA	Fanconi anemia group A protein	1388090.2				990341												1	0	0	0	-0.218719432			
sp|O15371|EIF3D_HUMAN	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	3.33E+08	3.56E+08	2.38E+08	2.73E+08	2.10E+08	2.57E+08	2.45E+08	2.43E+08	8.29E+07	5.87E+07	6.88E+07	5.82E+07	5.21E+07	3.86E+07	5.37E+07	4.43E+07	9	11	9	9	-0.109911245	-0.144188038	0.085372337	0.159390933
sp|O15372|EIF3H_HUMAN	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	1.65E+08	2.26E+08	2.02E+08	3.18E+08	1.25E+08	1.78E+08	2.09E+08	2.03E+08	4.30E+07	6.12E+07	4.01E+07	8.34E+07	4.01E+07	4.87E+07	5.35E+07	6.69E+07	6	7	7	6	-0.272787164	-0.133065021	0.380056119	0.121013287
sp|O15379|HDAC3_HUMAN	O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	1.33E+07				1.11E+07												1	0	0	0	-0.215274882			
sp|O15381|NVL_HUMAN	O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	9.89E+07	1.31E+07	8.63E+07	1.70E+07	8.74E+07	2.56E+07	1.06E+08	1.58E+07	2.83E+07	6976862	2.37E+07	8576626	3.02E+07	1.01E+07	2.98E+07	1.16E+07	4	3	5	2	-0.06250662	0.139415976	0.051918894	0.190613542
sp|O15382|BCAT2_HUMAN	O15382	BCAT2_HUMAN	BCAT2	"Branched-chain-amino-acid aminotransferase, mitochondrial"		2.08E+07		1.47E+07		1.37E+07		9670136		6809752		1.13E+07		6086564		8638573	0	3	0	2		-0.582205424		-0.507985948
sp|O15392|BIRC5_HUMAN	O15392	BIRC5_HUMAN	BIRC5	Baculoviral IAP repeat-containing protein 5	3428775.2				1734660.6												1	0	0	0	-0.714655302			
sp|O15397|IPO8_HUMAN	O15397	IPO8_HUMAN	IPO8	Importin-8	2.20E+07	4.52E+07	1.63E+07	3.32E+07	2.25E+07	4.11E+07	1.28E+07	2.28E+07	1.61E+07	1.58E+07	2.40E+07	1.65E+07	1.35E+07	1.47E+07	1.59E+07	1.17E+07	2	3	1	2	0.192699751	0.321563842	-0.216416149	-0.283586669
sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	Syntaxin-7		3.40E+07		2.22E+07		4.86E+07	9916485	1.12E+07		8720170		1.13E+07		1.11E+07	1.33E+07	6322740	0	4	0	2		0.460747726		-0.551013952
sp|O15417|TNC18_HUMAN	O15417	TNC18_HUMAN	TNRC18	Trinucleotide repeat-containing gene 18 protein	1.13E+07		1362746.4		9986672												1	0	0	0	-0.137669136			
sp|O15431|COPT1_HUMAN	O15431	COPT1_HUMAN	SLC31A1	High affinity copper uptake protein 1		3986305.8		3641187		1800613.6		2948656		3986305.8		3641187		1800613.6		2948656	0	1	0	1		-0.941027308		-0.09671958
sp|O15439|MRP4_HUMAN	O15439	MRP4_HUMAN	ABCC4	ATP-binding cassette sub-family C member 4		1070234				2518853.8	1.18E+07										0	1	0	0		-0.025685593		
sp|O15446|RPA34_HUMAN	O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	5.86E+07	1.05E+07	1.97E+08	1.78E+07	3.65E+07	7742996	1.23E+08	2.05E+07	2.14E+07	1.19E+07	3.98E+07	1.16E+07	1.24E+07	7279765	2.78E+07	8551186	4	2	7	2	-1.039802538	-0.062366697	-0.851074246	-0.527133494
sp|O15460|P4HA2_HUMAN	O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2							9005301	1.10E+07									0	0	0	0				
sp|O15479|MAGB2_HUMAN	O15479	MAGB2_HUMAN	MAGEB2	Melanoma-associated antigen B2	6.26E+08	5.18E+07	5.51E+08	8.46E+07	5.30E+08	5.45E+07	4.94E+08	5.51E+07	1.12E+08	1.85E+07	1.04E+08	2.03E+07	1.04E+08	2.28E+07	9.57E+07	1.65E+07	12	4	11	5	0.038317088	0.36320084	-0.017564991	-0.187660496
sp|O15498|YKT6_HUMAN	O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6		2.21E+07		5.54E+07		1.16E+07		5.02E+07		2.76E+07		1.74E+07		1.75E+07		1.34E+07	0	1	0	4		-0.713741817		0.174321835
sp|O15504|NUP42_HUMAN	O15504	NUP42_HUMAN	NUP42	Nucleoporin NUP42	5.01E+07	2605215.2	9.95E+07	1745520	3.72E+07	1630036.5	3.29E+08	1241990	2.40E+07	3200044.2	2.84E+07	2144061.2	2.94E+07	3212097.8	3.89E+07	2447425.8	4	1	6	1	-0.357375002	-0.47096179	0.092009462	-0.283371551
sp|O15530|PDPK1_HUMAN	O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1			5.79E+07														0	0	0	0				
sp|O15541|R113A_HUMAN	O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	3.55E+07	3801623			2.52E+07	3169273											1	1	0	0	-0.226045729	-0.056927064		
sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15	2.82E+07	5.46E+08	3561001	5.25E+08	2.33E+07	3.76E+08		4.20E+08	1.47E+07	1.24E+08		1.01E+08	1.30E+07	5.04E+07		5.83E+07	3	21	0	22	-0.069336872	-0.489185539		0.050350799
sp|O43148|MCES_HUMAN	O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N(7) methyltransferase		3.37E+07	3.46E+07	1.09E+07		2.63E+07	2.94E+07	1.03E+07		1.58E+07		1.44E+07		1.27E+07		1.39E+07	0	3	1	2		-0.212424861	-0.107459452	-0.031702939
sp|O43149|ZZEF1_HUMAN	O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	7724249.5	1884599.4		1026354	8132321	1459836.1		679719		1884599.4		1026354		1459836.1		679719	1	1	0	1	0.807225968	-0.162915013		-0.386886269
sp|O43151|TET3_HUMAN	O43151	TET3_HUMAN	TET3	Methylcytosine dioxygenase TET3	2566946				3223094												1	0	0	0	0.596777959			
sp|O43159|RRP8_HUMAN	O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	4.74E+07	2.45E+07	5.88E+07	4.67E+07	3.74E+07	2.11E+07	4.99E+07	2.59E+07	2.54E+07	1.68E+07	3.76E+07	2.36E+07	1.97E+07	1.31E+07	3.17E+07	1.28E+07	3	3	2	3	0.110085527	0.068667425	-0.125285357	-0.605068259
sp|O43164|PJA2_HUMAN	O43164	PJA2_HUMAN	PJA2	E3 ubiquitin-protein ligase Praja-2	7501751.5		1.09E+07				1.57E+07										0	0	1	0			0.649989869	
sp|O43169|CYB5B_HUMAN	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	1.03E+07	1.87E+07	8381573	3.34E+07	5124768	1.36E+07	4877828	2.88E+07	1.76E+07	1.09E+07	1.44E+07	1.45E+07	8268068	8404330	7869666.5	1.29E+07	1	1	1	2	-1.422284477	-0.235724297	-0.655180812	0.038638411
sp|O43172|PRP4_HUMAN	O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	1.16E+08	2.89E+07	1.34E+08	1.08E+07	9.53E+07	6665743.5	1.05E+08	9.01E+07	2.48E+07	2.38E+07	2.44E+07	8738094	2.97E+07	1.74E+07	2.49E+07	2.85E+07	5	1	6	2	0.077959354	-0.374332812	-0.218776231	2.230385388
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	4.97E+08	1.03E+09	6.44E+08	1.15E+09	5.60E+08	8.31E+08	6.98E+08	6.47E+08	6.96E+07	1.12E+08	7.79E+07	1.46E+08	8.18E+07	9.81E+07	8.55E+07	8.56E+07	14	15	15	16	0.497374516	-0.157831309	0.175918383	-0.653719594
sp|O43181|NDUS4_HUMAN	O43181	NDUS4_HUMAN	NDUFS4	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial"				2.47E+07				1.40E+07									0	0	0	1				-0.607960919
sp|O43182|RHG06_HUMAN	O43182	RHG06_HUMAN	ARHGAP6	Rho GTPase-activating protein 6	2.52E+07	1780388.9	1.33E+07	5608959	2.86E+07	1323081.6	7897763.5	4792881		4870832.5	9535334	1863522.4		4288868.5	6571313	1520279.8	3	1	1	3	0.428137105	-0.222753847	-0.629997699	-0.304782566
sp|O43236|SEPT4_HUMAN	O43236	SEPT4_HUMAN	SEPTIN4	Septin-4		5556796		5925424		6542451		3306991		5556796		5925424		6542451		3306991	0	1	0	1		0.441114377		-0.633767471
sp|O43237|DC1L2_HUMAN	O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	1.21E+07	1.06E+07	2.89E+07	4333644	1.50E+07	5952245	1.99E+07	5633894	1.21E+07	6305201	1.56E+07	4333644	1.50E+07	3851488	1.23E+07	5633894	1	2	2	1	0.578590762	-0.637872673	-0.97790816	0.586183564
sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	1.50E+09	7.64E+08	8.68E+08	9.12E+08	2.16E+09	5.69E+08	2.18E+09	7.97E+08	2.56E+08	1.39E+08	1.55E+08	1.63E+08	4.78E+08	2.68E+08	3.99E+08	3.70E+08	28	19	20	19	-0.082211426	-0.256979717	0.105307946	0.031924368
sp|O43251|RFOX2_HUMAN	O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2		7224497	1.01E+07			3296961	1.35E+07										0	1	1	0		-0.854920844	0.880773056	
sp|O43252|PAPS1_HUMAN	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1		4.34E+07		3.34E+07		1.74E+07		1.68E+07		3.10E+07		3.34E+07		1.74E+07		1.68E+07	0	1	0	1		-0.628860493		-0.783065983
sp|O43257|ZNHI1_HUMAN	O43257	ZNHI1_HUMAN	ZNHIT1	Zinc finger HIT domain-containing protein 1		5119528.5	1.19E+07	4539771			9799844			5119528.5	1.19E+07	4539771					0	0	1	0			-0.48659355	
sp|O43264|ZW10_HUMAN	O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	5.90E+07	1.38E+07	3.55E+07	3.65E+07	4.52E+07	1.55E+07	2.63E+07	7.66E+07	1.50E+07	3.81E+07	1.16E+07	1.39E+07	1.14E+07	3.05E+07	9100424	2.38E+07	5	2	3	4	-0.016885854	0.65531814	-0.215342567	-0.222015383
sp|O43290|SNUT1_HUMAN	O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	1.45E+07	1.56E+07	2.76E+07	4.48E+07	1.20E+07	1.32E+07	4.09E+07	5.51E+07		1.68E+07	1.88E+07	1.55E+07	2.25E+07	1.38E+07	1.62E+07	1.40E+07	1	1	3	3	-0.118726981	-0.039528772	0.444388314	0.090901989
sp|O43292|GPAA1_HUMAN	O43292	GPAA1_HUMAN	GPAA1	GPI-anchor transamidase component GPAA1			5755439.5	1.37E+07		2712406.2	1.69E+07	2.96E+07			7902723	6499133.5			1.69E+07	2.43E+07	0	0	1	2			2.580679594	1.012614562
sp|O43299|AP5Z1_HUMAN	O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	857243.3		4840229		409982.1		5613622.5										1	0	1	0	-0.795759191		0.339658057	
sp|O43303|CP110_HUMAN	O43303	CP110_HUMAN	CCP110	Centriolar coiled-coil protein of 110 kDa	4.00E+07		3.11E+07		8.87E+07				1.87E+07		3.11E+07						1	0	0	0	1.618813986			
sp|O43314|VIP2_HUMAN	O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2		2.48E+07		2.14E+07		2.26E+07		1.91E+07		7548271		7218361.5		1.10E+07		8023779	0	4	0	4		-0.023533235		-0.414584451
sp|O43318|M3K7_HUMAN	O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	1.01E+07		1.62E+07	3205187	1.08E+07		1.29E+07	4559721	1.01E+07		1.62E+07	3205187	1.08E+07		1.29E+07	4559721	1	0	1	1	0.139979983		-0.53669282	0.716168768
sp|O43324|MCA3_HUMAN	O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	2.66E+08	7.82E+07	1.54E+08	6.41E+07	2.34E+08	8.07E+07	1.46E+08	1.42E+08	6.18E+07	3.68E+07	4.64E+07	4.42E+07	6.98E+07	5.20E+07	5.36E+07	6.06E+07	6	3	5	2	-0.015424808	0.182930881	0.009379519	-0.067345257
sp|O43379|WDR62_HUMAN	O43379	WDR62_HUMAN	WDR62	WD repeat-containing protein 62	3.07E+07	2855140.5	2.71E+07		2.77E+07	5498699.5	1.25E+07	1290002	1.33E+07	3526410.5	1.16E+07		1.13E+07	5498699.5	1.25E+07	1290002	3	1	1	0	0.110676927	1.079762039	0.876252911	
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	3.52E+08	1.39E+09	3.51E+08	1.09E+09	2.89E+08	9.94E+08	3.29E+08	9.35E+08	7.88E+07	2.91E+08	7.46E+07	2.52E+08	8.02E+07	2.20E+08	8.61E+07	2.21E+08	16	19	12	21	-0.250451497	-0.377565551	-0.19346623	-0.067767983
sp|O43395|PRPF3_HUMAN	O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	1.27E+08	1.01E+08	1.49E+08	5.67E+07	1.02E+08	6.97E+07	1.32E+08	6.11E+07	2.49E+07	2.42E+07	2.17E+07	2.16E+07	2.52E+07	2.02E+07	2.91E+07	2.58E+07	7	8	8	7	0.048187716	-0.516538663	-0.198228074	-0.091311828
sp|O43396|TXNL1_HUMAN	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	9.26E+07	1.31E+08	5.92E+07	7.49E+07	1.16E+08	8.77E+07	5.34E+07	6.24E+07	4.87E+07	3.81E+07	3.97E+07	3.78E+07	4.68E+07	2.42E+07	4.60E+07	3.73E+07	4	8	2	4	-0.551846337	-0.303859351	0.020699508	0.057050515
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54		1.05E+08		1.03E+08		8.70E+07		7.25E+07		6.64E+07		6.80E+07		4.92E+07		4.24E+07	0	4	0	4		0.212762447		-0.528607714
sp|O43402|EMC8_HUMAN	O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8				4777147				8292870									0	0	0	1				0.277381777
sp|O43422|P52K_HUMAN	O43422	P52K_HUMAN	THAP12	52 kDa repressor of the inhibitor of the protein kinase	1.86E+07			1945791	1.85E+07			1248628									1	0	0	1	0.507905503			-0.432381322
sp|O43426|SYNJ1_HUMAN	O43426	SYNJ1_HUMAN	SYNJ1	Synaptojanin-1	6938498	923053.2		2.40E+07	7047665.5	451841.06											1	1	0	0	0.290906518	-0.825061933		
sp|O43427|FIBP_HUMAN	O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein				3945761				9569431									0	0	0	1				1.485761308
