Protein	Protein ID	Entry Name	Gene	Protein Description	input_wtH_mutL Light Intensity	input_wtH_prpfL Light Intensity	input_wtL_mutH Light Intensity	input_wtL_prpfH Light Intensity	input_wtH_mutL Heavy Intensity	input_wtH_prpfL Heavy Intensity	input_wtL_mutH Heavy Intensity	input_wtL_prpfH Heavy Intensity	input_wtH_mutL Light MaxLFQ Intensity	input_wtH_prpfL Light MaxLFQ Intensity	input_wtL_mutH Light MaxLFQ Intensity	input_wtL_prpfH Light MaxLFQ Intensity	input_wtH_mutL Heavy MaxLFQ Intensity	input_wtH_prpfL Heavy MaxLFQ Intensity	input_wtL_mutH Heavy MaxLFQ Intensity	input_wtL_prpfH Heavy MaxLFQ Intensity	input_wtH_mutL Ratios HL	input_wtH_prpfL Ratios HL	input_wtL_mutH Ratios HL	input_wtL_prpfH Ratios HL	input_wtH_mutL Median Log2 Ratios HL	input_wtH_prpfL Median Log2 Ratios HL	input_wtL_mutH Median Log2 Ratios HL	input_wtL_prpfH Median Log2 Ratios HL
sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	2.22E+08	3.66E+07	2.44E+08	4.08E+07	1.67E+08	2.16E+07	2.13E+08	4.70E+07	2.98E+07	1.31E+07	3.69E+07	1.46E+07	2.93E+07	9982636	3.49E+07	1.27E+07	12	4	12	7	-0.188244621	-0.291532728	-0.159243933	0.417215732
sp|O14523|C2C2L_HUMAN	O14523	C2C2L_HUMAN	C2CD2L	Phospholipid transfer protein C2CD2L	1403378.6	2599614	816537.1	1614506	995416.6	2300242	656703.5	1334102	1403378.6	2599614	816537.1	1614506	995416.6	2300242	656703.5	1334102	1	1	1	1	-0.227147326	0.029024773	-0.188474989	-0.067592102
sp|O14526|FCHO1_HUMAN	O14526	FCHO1_HUMAN	FCHO1	F-BAR domain only protein 1	8670441				1.02E+07												1	0	0	0	0.497318214			
sp|O14530|TXND9_HUMAN	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	7.88E+07	3.42E+07	5.20E+07	2.63E+07	5.82E+07	1.87E+07	5.91E+07	2.41E+07	2.65E+07	9649801	2.37E+07	1.12E+07	2.01E+07	7290421	2.76E+07	1.00E+07	4	4	3	4	-0.241282721	-0.418230536	0.407317871	0.031775688
sp|O14545|TRAD1_HUMAN	O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	1.65E+08		6.63E+07		1.50E+08	2.01E+07	7.48E+07	1.00E+07	4.98E+07		5.10E+07		3.46E+07	2.69E+07	4.13E+07	1.34E+07	4	0	3	0	0.1762916		0.074048728	
sp|O14548|CO72L_HUMAN	O14548	CO72L_HUMAN	COX7A2L	"Cytochrome c oxidase subunit 7A2-like, mitochondrial"		1.79E+07		2.27E+07		6517232.5		9635159		1.79E+07		1.18E+07		7449418		4774875.5	0	1	0	2		-1.231926835		-1.042979417
sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1		3.90E+07		2020333		3.25E+07		2.17E+07		2.34E+07		2020333		1.59E+07		2.71E+07	0	2	0	1		-0.05744161		3.62967331
sp|O14576|DC1I1_HUMAN	O14576	DC1I1_HUMAN	DYNC1I1	Cytoplasmic dynein 1 intermediate chain 1		3073559.2		9291826		3267208		3155517		3073559.2		9291826		3267208		3155517	0	1	0	1		0.293684457		-1.350453922
sp|O14578|CTRO_HUMAN	O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	1.24E+07	6347762	3.26E+07		1.45E+07		4.61E+07	5601173	1.31E+07		1.32E+07		2.46E+07		2.61E+07	3949483	2	0	2	0	0.474997691		0.889401855	
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	1.38E+08	2136253.2	3.58E+07	1.24E+07	1.11E+08		2.84E+07	8592564	3.76E+07		2.43E+07	1.16E+07	2.92E+07		1.96E+07	7674286	6	0	2	2	-0.240776282		-0.490035341	0.00357208
sp|O14602|IF1AY_HUMAN	O14602	IF1AY_HUMAN	EIF1AY	"Eukaryotic translation initiation factor 1A, Y-chromosomal"		3.34E+07		3491580		2.84E+07		3780061		1.38E+07		6609770.5		1.33E+07		5400255.5	0	2	0	1		0.151838245		0.322161297
sp|O14607|UTY_HUMAN	O14607	UTY_HUMAN	UTY	Histone demethylase UTY		1837938				1770916.8											0	1	0	0		0.151944629		
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	3.87E+07	1.83E+07		2.15E+07	2.72E+07	2.13E+07		2.15E+07	9454638	1.18E+07		1.02E+07	7489176	1.46E+07		1.21E+07	5	2	0	5	-0.12881482	0.44088396		-0.211623508
sp|O14640|DVL1_HUMAN	O14640	DVL1_HUMAN	DVL1	Segment polarity protein dishevelled homolog DVL-1		2137375.5				831223.6											0	1	0	0		-1.156995474		
sp|O14641|DVL2_HUMAN	O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2			6179292.5			2396379	7376502										0	0	1	0			0.381296661	
sp|O14646|CHD1_HUMAN	O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1		2.62E+07		6.64E+07		2.61E+07	4205872.5	4.40E+07		1.67E+07		1.52E+07		1.26E+07		8368434	0	4	0	9		0.399560811		-0.118642173
sp|O14647|CHD2_HUMAN	O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2		1.22E+07	1.40E+08			1.18E+07	2.98E+07										0	1	1	0		0.136221717	-3.091449712	
sp|O14653|GOSR2_HUMAN	O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1.49E+07		9492269		1.25E+07	2662668	1.18E+07		1.49E+07		9492269		1.25E+07		1.18E+07		1	0	1	0	0.018559392		0.771851988	
sp|O14657|TOR1B_HUMAN	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B				5127080				4595809									0	0	0	1				0.049813194
sp|O14681|EI24_HUMAN	O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog			8981062	8717971			1.88E+07	1.00E+07									0	0	1	1			1.669191744	0.407639082
sp|O14686|KMT2D_HUMAN	O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	1.08E+07	955288.1	3.29E+07		1.11E+07	1234889	2.23E+07		1.12E+07		1.28E+07		1.11E+07		1.60E+07		1	1	3	0	0.533374916	0.575910031	-1.931042553	
sp|O14727|APAF_HUMAN	O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	2.75E+07																0	0	0	0				
sp|O14730|RIOK3_HUMAN	O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3				6831244				1823696									0	0	0	1				-1.697651333
sp|O14733|MP2K7_HUMAN	O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	4.26E+07		5.67E+07	8015208	4.54E+07		5.04E+07	5.58E+07	1.26E+07		1.29E+07	1.31E+07	1.31E+07		1.38E+07	6.49E+07	4	0	4	2	0.429034991		0.294713506	2.118634425
sp|O14734|ACOT8_HUMAN	O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	1.99E+07	8460068	3.18E+07		1.30E+07	4417489.5	1.71E+07		1.99E+07	7476856.5	2.50E+07		1.30E+07	4417489.5	1.37E+07		1	1	2	0	-0.468642549	-0.482365702	-1.092224472	
